Date,DJI_value(t-1),DJI_value(t-2),DJI_value(t-3),DJI_value(t-4),DJI_value(t-5),DJI_value(t-6),DJI_value(t-7),DJI_value(t-8),DJI_value(t-9),DJI_value(t-10),DJI_direction
22/9/2009,0,1,0,1,1,1,0,1,1,1,1
23/9/2009,1,0,1,0,1,1,1,0,1,1,0
24/9/2009,0,1,0,1,0,1,1,1,0,1,0
25/9/2009,0,0,1,0,1,0,1,1,1,0,0
28/9/2009,0,0,0,1,0,1,0,1,1,1,1
29/9/2009,1,0,0,0,1,0,1,0,1,1,0
30/9/2009,0,1,0,0,0,1,0,1,0,1,0
1/10/2009,0,0,1,0,0,0,1,0,1,0,0
2/10/2009,0,0,0,1,0,0,0,1,0,1,0
5/10/2009,0,0,0,0,1,0,0,0,1,0,1
6/10/2009,1,0,0,0,0,1,0,0,0,1,1
7/10/2009,1,1,0,0,0,0,1,0,0,0,0
8/10/2009,0,1,1,0,0,0,0,1,0,0,1
9/10/2009,1,0,1,1,0,0,0,0,1,0,1
12/10/2009,1,1,0,1,1,0,0,0,0,1,1
13/10/2009,1,1,1,0,1,1,0,0,0,0,0
14/10/2009,0,1,1,1,0,1,1,0,0,0,1
15/10/2009,1,0,1,1,1,0,1,1,0,0,1
16/10/2009,1,1,0,1,1,1,0,1,1,0,0
19/10/2009,0,1,1,0,1,1,1,0,1,1,1
20/10/2009,1,0,1,1,0,1,1,1,0,1,0
21/10/2009,0,1,0,1,1,0,1,1,1,0,0
22/10/2009,0,0,1,0,1,1,0,1,1,1,1
23/10/2009,1,0,0,1,0,1,1,0,1,1,0
26/10/2009,0,1,0,0,1,0,1,1,0,1,0
27/10/2009,0,0,1,0,0,1,0,1,1,0,1
28/10/2009,1,0,0,1,0,0,1,0,1,1,0
29/10/2009,0,1,0,0,1,0,0,1,0,1,1
30/10/2009,1,0,1,0,0,1,0,0,1,0,0
2/11/2009,0,1,0,1,0,0,1,0,0,1,1
3/11/2009,1,0,1,0,1,0,0,1,0,0,0
4/11/2009,0,1,0,1,0,1,0,0,1,0,1
5/11/2009,1,0,1,0,1,0,1,0,0,1,1
6/11/2009,1,1,0,1,0,1,0,1,0,0,1
9/11/2009,1,1,1,0,1,0,1,0,1,0,1
10/11/2009,1,1,1,1,0,1,0,1,0,1,1
11/11/2009,1,1,1,1,1,0,1,0,1,0,1
12/11/2009,1,1,1,1,1,1,0,1,0,1,0
13/11/2009,0,1,1,1,1,1,1,0,1,0,1
16/11/2009,1,0,1,1,1,1,1,1,0,1,1
17/11/2009,1,1,0,1,1,1,1,1,1,0,1
18/11/2009,1,1,1,0,1,1,1,1,1,1,0
19/11/2009,0,1,1,1,0,1,1,1,1,1,0
20/11/2009,0,0,1,1,1,0,1,1,1,1,0
23/11/2009,0,0,0,1,1,1,0,1,1,1,1
24/11/2009,1,0,0,0,1,1,1,0,1,1,0
25/11/2009,0,1,0,0,0,1,1,1,0,1,1
27/11/2009,1,0,1,0,0,0,1,1,1,0,0
30/11/2009,0,1,0,1,0,0,0,1,1,1,1
1/12/2009,1,0,1,0,1,0,0,0,1,1,1
2/12/2009,1,1,0,1,0,1,0,0,0,1,0
3/12/2009,0,1,1,0,1,0,1,0,0,0,0
4/12/2009,0,0,1,1,0,1,0,1,0,0,1
7/12/2009,1,0,0,1,1,0,1,0,1,0,1
8/12/2009,1,1,0,0,1,1,0,1,0,1,0
9/12/2009,0,1,1,0,0,1,1,0,1,0,1
10/12/2009,1,0,1,1,0,0,1,1,0,1,1
11/12/2009,1,1,0,1,1,0,0,1,1,0,1
14/12/2009,1,1,1,0,1,1,0,0,1,1,1
15/12/2009,1,1,1,1,0,1,1,0,0,1,0
16/12/2009,0,1,1,1,1,0,1,1,0,0,0
17/12/2009,0,0,1,1,1,1,0,1,1,0,0
18/12/2009,0,0,0,1,1,1,1,0,1,1,1
21/12/2009,1,0,0,0,1,1,1,1,0,1,1
22/12/2009,1,1,0,0,0,1,1,1,1,0,1
23/12/2009,1,1,1,0,0,0,1,1,1,1,1
24/12/2009,1,1,1,1,0,0,0,1,1,1,1
28/12/2009,1,1,1,1,1,0,0,0,1,1,1
29/12/2009,1,1,1,1,1,1,0,0,0,1,0
30/12/2009,0,1,1,1,1,1,1,0,0,0,1
31/12/2009,1,0,1,1,1,1,1,1,0,0,0
4/1/2010,0,1,0,1,1,1,1,1,1,0,1
5/1/2010,1,0,1,0,1,1,1,1,1,1,0
